date,used_value,source_observation_date,source_available_at,elapsed_days,in_train,in_val
2018-11-14,1.736,2018-10-31,2018-11-08,6,True,False
2018-11-15,1.736,2018-10-31,2018-11-08,7,True,False
2018-11-16,1.736,2018-10-31,2018-11-08,8,True,False
2018-11-19,1.736,2018-10-31,2018-11-08,11,True,False
2018-11-20,1.736,2018-10-31,2018-11-08,12,True,False
2018-11-21,1.736,2018-10-31,2018-11-08,13,True,False
2018-11-23,1.736,2018-10-31,2018-11-08,15,True,False
2018-11-26,1.736,2018-10-31,2018-11-08,18,True,False
2018-11-27,1.736,2018-10-31,2018-11-08,19,True,False
2018-11-28,1.736,2018-10-31,2018-11-08,20,True,False
2018-11-29,1.736,2018-10-31,2018-11-08,21,True,False
2018-11-30,1.736,2018-10-31,2018-11-08,22,True,False
2018-12-03,1.736,2018-10-31,2018-11-08,25,True,False
2018-12-04,1.736,2018-10-31,2018-11-08,26,True,False
2018-12-06,1.736,2018-10-31,2018-11-08,28,True,False
2018-12-07,1.036,2018-11-30,2018-12-07,0,True,False
2018-12-10,1.036,2018-11-30,2018-12-07,3,True,False
2018-12-11,1.036,2018-11-30,2018-12-07,4,True,False
2018-12-12,1.036,2018-11-30,2018-12-07,5,True,False
2018-12-13,1.036,2018-11-30,2018-12-07,6,True,False
2018-12-14,1.036,2018-11-30,2018-12-07,7,True,False
2018-12-17,1.036,2018-11-30,2018-12-07,10,True,False
2018-12-18,1.036,2018-11-30,2018-12-07,11,True,False
2018-12-19,1.036,2018-11-30,2018-12-07,12,True,False
2018-12-20,1.036,2018-11-30,2018-12-07,13,True,False
2018-12-21,1.036,2018-11-30,2018-12-07,14,True,False
2018-12-24,1.036,2018-11-30,2018-12-07,17,True,False
2018-12-26,1.036,2018-11-30,2018-12-07,19,True,False
2018-12-27,1.036,2018-11-30,2018-12-07,20,True,False
2018-12-28,1.036,2018-11-30,2018-12-07,21,True,False
2018-12-31,1.036,2018-11-30,2018-12-07,24,True,False
2019-01-02,1.036,2018-11-30,2018-12-07,26,True,False
2019-01-03,1.036,2018-11-30,2018-12-07,27,True,False
2019-01-04,1.036,2018-11-30,2018-12-07,28,True,False
2019-01-07,1.865,2018-12-31,2019-01-07,0,True,False
2019-01-08,1.865,2018-12-31,2019-01-07,1,True,False
2019-01-09,1.865,2018-12-31,2019-01-07,2,True,False
2019-01-10,1.865,2018-12-31,2019-01-07,3,True,False
2019-01-11,1.865,2018-12-31,2019-01-07,4,True,False
2019-01-14,1.865,2018-12-31,2019-01-07,7,True,False
2019-01-15,1.865,2018-12-31,2019-01-07,8,True,False
2019-01-16,1.865,2018-12-31,2019-01-07,9,True,False
2019-01-17,1.865,2018-12-31,2019-01-07,10,True,False
2019-01-18,1.865,2018-12-31,2019-01-07,11,True,False
2019-01-22,1.865,2018-12-31,2019-01-07,15,True,False
2019-01-23,1.865,2018-12-31,2019-01-07,16,True,False
2019-01-24,1.865,2018-12-31,2019-01-07,17,True,False
2019-01-25,1.865,2018-12-31,2019-01-07,18,True,False
2019-01-28,1.865,2018-12-31,2019-01-07,21,True,False
2019-01-29,1.865,2018-12-31,2019-01-07,22,True,False
2019-01-30,1.865,2018-12-31,2019-01-07,23,True,False
2019-01-31,1.865,2018-12-31,2019-01-07,24,True,False
