date,direction,day_total_veh,hours_present,hours_missing
2016-02-09,3,3225,24,0
2016-02-09,7,3220,24,0
2016-02-10,3,3337,24,0
2016-02-10,7,3311,24,0
2016-02-11,3,3563,24,0
2016-02-11,7,3545,24,0
2016-02-12,3,3793,24,0
2016-02-12,7,3724,24,0
2016-02-13,3,2976,24,0
2016-02-13,7,2946,24,0
2016-02-14,3,2192,24,0
2016-02-14,7,2239,24,0
2016-02-15,3,3002,24,0
2016-02-15,7,3020,24,0
2016-02-16,3,3373,24,0
2016-02-16,7,3339,24,0
2016-02-17,3,3452,24,0
2016-02-17,7,3385,24,0
2016-02-18,3,3468,24,0
2016-02-18,7,3439,24,0
2016-02-19,3,3830,24,0
2016-02-19,7,3792,24,0
2016-02-20,3,3065,24,0
2016-02-20,7,3042,24,0
2016-02-21,3,2128,24,0
2016-02-21,7,2167,24,0
2016-02-22,3,3207,24,0
2016-02-22,7,3235,24,0
2016-02-23,3,2997,24,0
2016-02-23,7,3078,24,0
2016-02-24,3,3258,24,0
2016-02-24,7,3260,24,0
2016-02-25,3,3320,24,0
2016-02-25,7,3299,24,0
2016-02-26,3,3801,24,0
2016-02-26,7,3740,24,0
2016-02-27,3,3051,24,0
2016-02-27,7,3045,24,0
2016-02-28,3,2187,24,0
2016-02-28,7,2252,24,0
2016-02-29,3,3095,24,0
2016-02-29,7,3129,24,0
2016-03-01,3,3407,24,0
2016-03-01,7,3398,24,0
2016-03-02,3,3329,24,0
2016-03-02,7,3324,24,0
2016-03-03,3,3557,24,0
2016-03-03,7,3531,24,0
2016-03-04,3,4133,24,0
2016-03-04,7,4081,24,0
2016-03-05,3,3070,24,0
2016-03-05,7,3105,24,0
2016-03-06,3,2104,24,0
2016-03-06,7,2244,24,0
2016-03-07,3,3129,24,0
2016-03-07,7,3213,24,0
2016-03-08,3,2963,24,0
2016-03-08,7,3012,24,0
2016-03-09,3,3226,24,0
2016-03-09,7,3258,24,0
2016-03-10,3,3304,24,0
2016-03-10,7,3314,24,0
2016-03-11,3,3635,24,0
2016-03-11,7,3621,24,0
2016-03-12,3,2705,24,0
2016-03-12,7,2659,24,0
2016-03-14,3,3193,24,0
2016-03-14,7,3177,24,0
2016-03-15,3,3230,24,0
2016-03-15,7,3230,24,0
2016-03-16,3,3299,24,0
2016-03-16,7,3314,24,0
2016-03-17,3,3274,24,0
2016-03-17,7,3218,24,0
2016-03-18,3,3321,24,0
2016-03-18,7,3393,24,0
2016-03-19,3,2709,24,0
2016-03-19,7,2769,24,0
2016-03-20,3,2136,24,0
2016-03-20,7,2250,24,0
2016-03-21,3,3081,24,0
